,Price,Area,No. of Bedrooms,Resale,City
0,6845000.0,1670,3.0,0,Banglore
1,6797000.0,1220,2.0,0,Banglore
2,3506000.0,660,1.0,0,Banglore
3,5394000.0,1120,2.0,0,Banglore
4,6367000.0,1415,3.0,0,Banglore
5,5080000.0,1270,2.0,0,Banglore
6,5700000.0,1210,2.0,0,Banglore
7,6845000.0,1670,3.0,0,Banglore
8,6797000.0,1220,2.0,0,Banglore
9,3506000.0,660,1.0,0,Banglore
10,5394000.0,1120,2.0,0,Banglore
11,6367000.0,1415,3.0,0,Banglore
12,5080000.0,1270,2.0,0,Banglore
13,5700000.0,1210,2.0,0,Banglore
14,4900000.0,1187,2.0,0,Banglore
15,6845000.0,1670,3.0,0,Banglore
16,6797000.0,1220,2.0,0,Banglore
17,3506000.0,660,1.0,0,Banglore
18,5394000.0,1120,2.0,0,Banglore
19,6367000.0,1415,3.0,0,Banglore
20,5080000.0,1270,2.0,0,Banglore
21,5700000.0,1210,2.0,0,Banglore
22,4900000.0,1187,2.0,0,Banglore
23,5080000.0,1270,2.0,0,Banglore
24,5489000.0,1120,2.0,0,Banglore
25,4216000.0,1506,3.0,0,Banglore
26,4368000.0,1040,2.0,0,Banglore
27,4545000.0,1045,2.0,0,Banglore
28,4514000.0,1143,2.0,0,Banglore
29,5460000.0,1300,2.0,1,Banglore
30,4414000.0,966,2.0,0,Banglore
31,6133000.0,1275,2.0,0,Banglore
32,3038000.0,1085,2.0,0,Banglore
33,6520000.0,1304,3.0,0,Banglore
34,6389000.0,1120,2.0,0,Banglore
35,4562000.0,1304,3.0,0,Banglore
36,2951000.0,649,1.0,0,Banglore
37,4264000.0,1108,2.0,0,Banglore
38,6698000.0,1675,3.0,0,Banglore
39,4500000.0,1075,2.0,0,Banglore
40,4928000.0,1120,2.0,0,Banglore
41,6100000.0,1350,2.0,0,Banglore
42,6151000.0,1404,2.0,0,Banglore
43,5426000.0,1080,2.0,0,Banglore
44,4850000.0,1060,2.0,0,Banglore
45,4604000.0,1540,3.0,0,Banglore
46,3607000.0,1110,3.0,0,Banglore
47,4840000.0,1345,3.0,0,Banglore
48,4809000.0,1145,2.0,0,Banglore
49,5070000.0,935,2.0,0,Banglore
50,4580000.0,1145,2.0,0,Banglore
51,5559000.0,1635,3.0,0,Banglore
52,4723000.0,1145,2.0,0,Banglore
53,4465000.0,1175,3.0,0,Banglore
54,4000000.0,1005,2.0,0,Banglore
55,5400000.0,1200,2.0,1,Banglore
56,4781000.0,1310,3.0,0,Banglore
57,4700000.0,1125,2.0,0,Banglore
58,6487000.0,1272,2.0,0,Banglore
59,5500000.0,1170,2.0,0,Banglore
60,4900000.0,1215,2.0,0,Banglore
61,4545000.0,1045,2.0,0,Banglore
62,3779999.0,900,2.0,0,Banglore
63,6736000.0,1350,2.0,0,Banglore
64,6761000.0,1355,3.0,0,Banglore
65,6611000.0,1325,2.0,0,Banglore
66,6287000.0,1260,2.0,0,Banglore
67,6437000.0,1290,2.0,0,Banglore
68,6112000.0,1225,2.0,0,Banglore
69,6487000.0,1300,2.0,0,Banglore
70,4722000.0,1152,2.0,0,Banglore
71,4586000.0,1119,2.0,0,Banglore
72,4582000.0,1118,2.0,0,Banglore
73,6787000.0,1656,3.0,0,Banglore
74,6892000.0,1237,2.0,0,Banglore
75,6973999.000000001,1409,3.0,0,Banglore
76,5705000.0,1139,2.0,0,Banglore
77,5772000.0,1154,2.0,0,Banglore
78,6720999.000000001,1353,3.0,0,Banglore
79,6761000.0,1362,3.0,0,Banglore
80,5677000.0,1133,2.0,0,Banglore
81,5384000.0,1068,2.0,0,Banglore
82,3506000.0,660,1.0,0,Banglore
83,6250000.0,1120,2.0,0,Banglore
84,6250000.0,1120,2.0,0,Banglore
85,3797999.0,715,1.0,0,Banglore
86,3797999.0,715,1.0,0,Banglore
87,5034000.0,910,2.0,0,Banglore
88,5034000.0,910,2.0,0,Banglore
89,5327000.0,965,2.0,0,Banglore
90,5327000.0,965,2.0,0,Banglore
91,5958000.0,1065,2.0,0,Banglore
92,5958000.0,1065,2.0,0,Banglore
93,6900000.0,1273,2.0,0,Banglore
94,6986000.0,1277,2.0,0,Banglore
